log_file,experiment,setting,algorithm,is_rerun,mode,task,optimizer,p,hidden_width,alpha,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,proximal_mu,server_lr,tau,weight_decay,t_grok,t_50,final_acc,grokked,censored,history_path
exp2_a0.20_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.2,42,,,,,,,,,,inf,inf,1.9,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s42.json
exp2_a0.20_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.2,123,,,,,,,,,,inf,inf,6.5,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s123.json
exp2_a0.20_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.2,456,,,,,,,,,,inf,inf,2.3,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s456.json
exp2_a0.20_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.02,42,,,,,,,,,,inf,inf,0.0,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.02_s42.json
exp2_a0.20_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.02,123,,,,,,,,,,inf,inf,0.0,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.02_s123.json
exp2_a0.20_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.02,456,,,,,,,,,,inf,inf,0.0,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.02_s456.json
exp2_a0.20_K10.log,exp2,,,False,federated,addition,gd,97,256,0.2,42,10,5,1.0,iid,,,,,,inf,inf,0.9,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K10_le5_ft1.0_iid_s42.json
exp2_a0.20_K10.log,exp2,,,False,federated,addition,gd,97,256,0.2,123,10,5,1.0,iid,,,,,,inf,inf,1.7,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K10_le5_ft1.0_iid_s123.json
exp2_a0.20_K10.log,exp2,,,False,federated,addition,gd,97,256,0.2,456,10,5,1.0,iid,,,,,,inf,inf,0.9,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K10_le5_ft1.0_iid_s456.json
exp2_a0.20_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.2,42,,,,,,,,,,inf,inf,1.9,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s42.json
exp2_a0.20_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.2,123,,,,,,,,,,inf,inf,6.5,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s123.json
exp2_a0.20_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.2,456,,,,,,,,,,inf,inf,2.3,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s456.json
exp2_a0.20_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.1,42,,,,,,,,,,inf,inf,0.4,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.1_s42.json
exp2_a0.20_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.1,123,,,,,,,,,,inf,inf,0.4,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.1_s123.json
exp2_a0.20_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.1,456,,,,,,,,,,inf,inf,0.5,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.1_s456.json
exp2_a0.20_K2.log,exp2,,,False,federated,addition,gd,97,256,0.2,42,2,5,1.0,iid,,,,,,inf,inf,1.2,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K2_le5_ft1.0_iid_s42.json
exp2_a0.20_K2.log,exp2,,,False,federated,addition,gd,97,256,0.2,123,2,5,1.0,iid,,,,,,inf,inf,2.1,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K2_le5_ft1.0_iid_s123.json
exp2_a0.20_K2.log,exp2,,,False,federated,addition,gd,97,256,0.2,456,2,5,1.0,iid,,,,,,inf,inf,1.0,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K2_le5_ft1.0_iid_s456.json
exp2_a0.20_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.2,42,,,,,,,,,,inf,inf,1.9,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s42.json
exp2_a0.20_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.2,123,,,,,,,,,,inf,inf,6.5,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s123.json
exp2_a0.20_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.2,456,,,,,,,,,,inf,inf,2.3,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s456.json
exp2_a0.20_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.01,42,,,,,,,,,,inf,inf,0.1,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.01_s42.json
exp2_a0.20_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.01,123,,,,,,,,,,inf,inf,0.2,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.01_s123.json
exp2_a0.20_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.01,456,,,,,,,,,,inf,inf,0.2,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.01_s456.json
exp2_a0.20_K20.log,exp2,,,False,federated,addition,gd,97,256,0.2,42,20,5,1.0,iid,,,,,,inf,inf,1.0,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K20_le5_ft1.0_iid_s42.json
exp2_a0.20_K20.log,exp2,,,False,federated,addition,gd,97,256,0.2,123,20,5,1.0,iid,,,,,,inf,inf,1.1,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K20_le5_ft1.0_iid_s123.json
exp2_a0.20_K20.log,exp2,,,False,federated,addition,gd,97,256,0.2,456,20,5,1.0,iid,,,,,,inf,inf,0.7,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K20_le5_ft1.0_iid_s456.json
exp2_a0.20_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.2,42,,,,,,,,,,inf,inf,1.9,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s42.json
exp2_a0.20_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.2,123,,,,,,,,,,inf,inf,6.5,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s123.json
exp2_a0.20_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.2,456,,,,,,,,,,inf,inf,2.3,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s456.json
exp2_a0.20_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.04,42,,,,,,,,,,inf,inf,0.0,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.04_s42.json
exp2_a0.20_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.04,123,,,,,,,,,,inf,inf,0.0,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.04_s123.json
exp2_a0.20_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.04,456,,,,,,,,,,inf,inf,0.0,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.04_s456.json
exp2_a0.20_K5.log,exp2,,,False,federated,addition,gd,97,256,0.2,42,5,5,1.0,iid,,,,,,inf,inf,1.2,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K5_le5_ft1.0_iid_s42.json
exp2_a0.20_K5.log,exp2,,,False,federated,addition,gd,97,256,0.2,123,5,5,1.0,iid,,,,,,inf,inf,1.9,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K5_le5_ft1.0_iid_s123.json
exp2_a0.20_K5.log,exp2,,,False,federated,addition,gd,97,256,0.2,456,5,5,1.0,iid,,,,,,inf,inf,1.0,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K5_le5_ft1.0_iid_s456.json
exp2_a0.20_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.2,42,,,,,,,,,,inf,inf,1.9,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s42.json
exp2_a0.20_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.2,123,,,,,,,,,,inf,inf,6.5,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s123.json
exp2_a0.20_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.2,456,,,,,,,,,,inf,inf,2.3,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s456.json
exp2_a0.20_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.004,42,,,,,,,,,,inf,inf,0.5,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.004_s42.json
exp2_a0.20_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.004,123,,,,,,,,,,inf,inf,0.5,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.004_s123.json
exp2_a0.20_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.004,456,,,,,,,,,,inf,inf,0.6,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.004_s456.json
exp2_a0.20_K50.log,exp2,,,False,federated,addition,gd,97,256,0.2,42,50,5,1.0,iid,,,,,,inf,inf,0.7,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K50_le5_ft1.0_iid_s42.json
exp2_a0.20_K50.log,exp2,,,False,federated,addition,gd,97,256,0.2,123,50,5,1.0,iid,,,,,,inf,inf,0.6,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K50_le5_ft1.0_iid_s123.json
exp2_a0.20_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.2,42,,,,,,,,,,inf,inf,1.9,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s42.json
exp2_a0.20_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.2,123,,,,,,,,,,inf,inf,6.5,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s123.json
exp2_a0.20_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.2,456,,,,,,,,,,inf,inf,2.3,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s456.json
exp2_a0.20_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.002061855670103093,42,,,,,,,,,,inf,inf,0.7,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.002061855670103093_s42.json
exp2_a0.20_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.002061855670103093,123,,,,,,,,,,inf,inf,0.7,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.002061855670103093_s123.json
exp2_a0.20_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.002061855670103093,456,,,,,,,,,,inf,inf,0.7,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.002061855670103093_s456.json
exp2_a0.20_K97.log,exp2,,,False,federated,addition,gd,97,256,0.2,42,97,5,1.0,iid,,,,,,inf,inf,0.2,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.2_K97_le5_ft1.0_iid_s42.json
exp2_a0.25_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.25,42,,,,,,,,,,23200.0,19000.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s42.json
exp2_a0.25_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.25,123,,,,,,,,,,25300.0,20400.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s123.json
exp2_a0.25_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.25,456,,,,,,,,,,26900.0,21200.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s456.json
exp2_a0.25_K10.log,exp2,,,False,centralized,addition,gd,97,256,0.025,42,,,,,,,,,,inf,inf,0.0,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.025_s42.json
