id,mode,tier,group,experiment,setup,dataset,model,loss,group_n,coset_subgroup,task,optimizer,p,hidden_width,n_layers,activation,init_scale,batch_size,n_train,n_test,alpha,seed,num_clients,local_epochs,num_rounds,fraction_train,partition,dirichlet_alpha,proximal_mu,strategy,server_lr,server_momentum,tau,eval_every,checkpoint_every,epochs,log_every,momentum,lr,weight_decay,grok_threshold,t_grok,t_50,final_acc,final_train_acc,final_ipr,grokked,censored,steps_run,wall_s,checkpoint_client_weights,feddyn_alpha,persist_local_opt_state,schema
cent_002bcf47b251,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,456,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,7800,1000,99.94444847106934,100.0,nan,True,False,40000.0,83.1,,,,
cent_00ea48559025,centralized,T0,mnist_wd_band,mnist,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,,9.0,200,,,0.5,456,,,,,,,,,,,,,0,,,,0.001,0.01,90.0,inf,5100,88.0799949169159,100.0,nan,False,True,20000.0,95.7,,,,
cent_01c24f1e2e1e,centralized,S1,central_anchor,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,4000,5000,0.5,789,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,800,200,94.5199966430664,100.0,nan,True,False,20000.0,565.1,,,,
cent_03c19391c52f,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.25,123,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,32000,20500,86.129629611969,100.0,nan,True,False,40000.0,55.0,,,,
cent_052fdf80463c,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.5,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,19900,19400,100.0,100.0,nan,True,False,40000.0,447.1,,,,
cent_0a40281899b2,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,20000,14700,97.02380895614624,100.0,nan,True,False,40000.0,59.3,,,,
cent_0bc64de29d53,centralized,S1,central_anchor,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,500,5000,0.5,789,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,inf,2800,87.83999681472778,100.0,nan,False,True,20000.0,73.6,,,,
cent_0c1def10715b,centralized,S1,central_anchor,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,2000,5000,0.5,789,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,1700,500,93.99999976158142,100.0,nan,True,False,20000.0,228.2,,,,
cent_111688ecef52,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.25,456,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,inf,inf,0.5648148246109486,100.0,nan,False,True,40000.0,484.8,,,,
cent_133d033cde83,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.25,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,inf,inf,0.5740740802139044,100.0,nan,False,True,40000.0,441.5,,,,
cent_13b825fcb2ff,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,4000,5000,0.5,42,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,500,200,96.13999724388123,100.0,nan,True,False,20000.0,430.2,,,,
cent_1573c40bbe22,centralized,T0,mnist_wd_band,mnist,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,,9.0,200,,,0.5,456,,,,,,,,,,,,,0,,,,0.001,1.0,90.0,3300,200,91.5399968624115,100.0,nan,True,False,20000.0,86.4,,,,
cent_16e486725bd2,centralized,T0,mnist_wd_band,mnist,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,,9.0,200,,,0.5,123,,,,,,,,,,,,,0,,,,0.001,0.03,90.0,8300,3300,91.57999753952026,100.0,nan,True,False,20000.0,95.5,,,,
cent_18a284383062,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,1011,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,21600,15200,93.76984238624573,100.0,nan,True,False,40000.0,75.5,,,,
cent_1a0676cdba95,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.2,123,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,inf,inf,0.27777778450399637,100.0,nan,False,True,40000.0,414.5,,,,
cent_1b59b0b9d2a0,centralized,T0,mnist_wd_band,mnist,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,,9.0,200,,,0.5,42,,,,,,,,,,,,,0,,,,0.001,0.01,90.0,inf,5000,89.17999863624573,100.0,nan,False,True,20000.0,94.4,,,,
cent_1bf6ceb9b106,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.25,123,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,inf,inf,0.4444444552063942,100.0,nan,False,True,40000.0,439.8,,,,
cent_1d9f1fef86d2,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,25,2000,5000,0.5,123,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,200,100,91.27999544143677,99.30000305175781,nan,True,False,20000.0,1936.7,,,,
cent_1dcf979cd8d9,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.25,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,29600,19900,88.33333253860474,100.0,nan,True,False,40000.0,55.1,,,,
cent_1e10f32a5c15,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,100,4000,5000,0.5,123,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,300,100,94.8199987411499,100.0,nan,True,False,20000.0,856.5,,,,
cent_1fefc7b9c69f,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.5,789,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,23500,22900,100.0,100.0,nan,True,False,40000.0,967.8,,,,
cent_20031bba5dad,centralized,T0,mnist_wd_band,mnist,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,,9.0,200,,,0.5,456,,,,,,,,,,,,,0,,,,0.001,0.1,90.0,3800,1300,92.15999841690063,100.0,nan,True,False,20000.0,94.0,,,,
cent_217a439da67a,centralized,T0,mnist_wd_band,mnist,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,,9.0,200,,,0.5,123,,,,,,,,,,,,,0,,,,0.001,0.3,90.0,2600,500,92.77999997138977,100.0,nan,True,False,20000.0,85.6,,,,
cent_24a17a82c231,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,100,1000,5000,0.5,123,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,1700,700,92.85999536514282,100.0,nan,True,False,20000.0,220.9,,,,
cent_2794532081df,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,25,2000,5000,0.5,42,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,18300,100,91.95999503135681,100.0,nan,True,False,20000.0,2182.1,,,,
cent_284b60d1a171,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,2000,5000,0.5,42,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,1700,500,94.9999988079071,100.0,nan,True,False,20000.0,222.3,,,,
cent_2bc2d519138e,centralized,T0,mnist_wd_band,mnist,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,,9.0,200,,,0.5,42,,,,,,,,,,,,,0,,,,0.001,0.3,90.0,3400,600,92.35999584197998,100.0,nan,True,False,20000.0,92.7,,,,
cent_2be112078827,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,25,1000,5000,0.5,123,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,inf,200,87.3799979686737,100.0,nan,False,True,20000.0,904.9,,,,
cent_2e323463cfde,centralized,T0,mnist_wd_band,mnist,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,,9.0,200,,,0.5,456,,,,,,,,,,,,,0,,,,0.001,0.3,90.0,3000,500,92.1999990940094,100.0,nan,True,False,20000.0,87.6,,,,
cent_2faa39bf22a6,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,50,4000,5000,0.5,42,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,100,100,96.66000008583069,100.0,nan,True,False,20000.0,1914.7,,,,
cent_33978f2f2357,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,6800,900,99.93056058883667,100.0,nan,True,False,40000.0,47.0,,,,
cent_344f8c66cd42,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.2,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,inf,inf,38.32465410232544,100.0,nan,False,True,40000.0,48.0,,,,
cent_34f23c576bbf,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,25,4000,5000,0.5,123,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,100,100,93.59999895095825,99.9250054359436,nan,True,False,20000.0,4200.0,,,,
cent_39011f4b411e,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,456,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,21300,14400,93.80952715873718,100.0,nan,True,False,40000.0,62.6,,,,
cent_3e9aab0d736e,centralized,S1,central_anchor,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,1000,5000,0.5,789,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,3600,1300,92.28000044822693,100.0,nan,True,False,20000.0,119.2,,,,
cent_3f1909ec205c,centralized,S1,central_anchor,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,500,5000,0.5,42,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,inf,2800,88.47999572753906,100.0,nan,False,True,20000.0,74.4,,,,
cent_3f4d0f31c0ff,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,100,4000,5000,0.5,456,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,200,100,94.35999989509583,100.0,nan,True,False,20000.0,867.7,,,,
cent_40c663e81a74,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.5,123,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,9700,9400,100.0,100.0,nan,True,False,40000.0,989.5,,,,
cent_423e3ebf3e1c,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.3,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,inf,inf,0.6349206436425447,100.0,nan,False,True,40000.0,334.6,,,,
cent_461f33726518,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,789,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,7500,1000,99.91666674613953,100.0,nan,True,False,40000.0,80.6,,,,
cent_4b78663fee46,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,25,2000,5000,0.5,456,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,200,100,92.23999977111816,99.9000072479248,nan,True,False,20000.0,1947.1,,,,
cent_4b9cee3f4e22,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,50,2000,5000,0.5,456,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,400,200,92.11999773979187,100.0,nan,True,False,20000.0,842.9,,,,
cent_4f3db0cee12c,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.3,789,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,inf,inf,0.40674605406820774,100.0,nan,False,True,40000.0,620.6,,,,
cent_51a48c0bd17f,centralized,S1,mnist_working_point,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,50,1000,5000,0.5,456,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,inf,400,87.03999519348145,99.9000072479248,nan,False,True,20000.0,418.9,,,,
cent_52cbee1f4202,centralized,S1,central_anchor,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,2000,5000,0.5,1011,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,1600,500,94.35999989509583,100.0,nan,True,False,20000.0,222.8,,,,
cent_57aa9f180840,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.25,789,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,38300,21100,85.33333539962769,100.0,nan,True,False,40000.0,56.3,,,,
